report,turbulence,fl
BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017,,1000
BUR UA /OV BUR/TM 1622/FL017/TP B737/SK OVC BASES 010 TOPS 017,,1700
BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017.,,1000
LGB UA /OV LGB/TM 1630/FL018/TP B737/SK OVC004-TOP018,,1800
LGB UA /OV LGB120005/TM 1642/FL020/TP B737/SK OVC004-TOP020,,2000
LAX UA /OV LAX071005/TM 1645/FL008/TP B738/SK OVC008-TOP017,,800
SMO UA /OV SMO030003/TM 1650/FL015/TP E55P/SK OVC007-TOPS017,,1500
SMO UA /OV SMO030003/TM 1650/FL015/TP E55P/SK OVC007-TOPS017/RM DURD,,1500
VNY UA /OV VNY/TM 1657/FL018/TP C172/WX 10 SM/RM VISIBILITY 10 MILES ABOVE 1000 FEET,,1800
BUR UA /OV BUR/TM 1703/FL008/TP A319/RM BASES AT THE SFC RWY 15 DEPARTURE BUR,,800
EMT UA /OV KEMT090002/TM 1705/FL018/TP SLG4/SK VV002-TOP018,,1800
SMO UA /OV KSMO210001/TM 1735/FL020/TP P28A/SK OVC010-TOP017/RM DURC 21,,2000
LAX UA /OV SMO/TM 1737/FL010/TP PA28/SK BAS 010 OP 017,,1000
LGB UA /OV LGB120001/TM 1742/FL005/TP B737/SK OVC005-TOP022,,500
SMO UA /OV KSMO030002/TM 1752/FL010/TP PC12/SK OVC010-TOP014/WX FV02SM /RM DURD 21,,1000
SMO UA /OV KSMO230001/TM 1807/FL020/TP E55P/SK OVC-TOP013/RM DURC 21,,2000
VNY UA /OV VNY/TM 1812/FL020/TP HUSK/WX 5 SM/RM VISIBILITY ON 4 MILE FINAL  20 KT TAILWIND AT 020,,2000
VNY UA /OV VNY30005/TM 1822/FL030/TP C172/WX 5SM HZ/TB LIGHT/RM LIGHT CHOP,LIGHT,3000
LAX UA /OV LAX071007/TM 1830/FL011/TP E75L/SK OVC011-TOP015,,1100
TOA UA /OV TOA/TM 1842/FL008/TP BE76/SK BKN/RM BASES 1 W 008 TOPS 016,,800
LAX UA /OV TOA/TM 1849/FL016/TP C172/SK TOP 016 BASSES 008,,1600
LGB UA /OV LGB/TM 1857/FL018/TP B737/SK OVC004-TOP018,,1800
EMT UA /OV KEMT030002/TM 1915/FL015/TP DA62/SK OVC008-TOP015,,1500
SMO UA /OV KSMO030004/TM 1921/FL010/TP PC12/SK SCT010-TOP014/WX FV03SM/RM DURD 21,,1000
VNY UUA /OV VNY/TM 1945/FL018/TP CL35/RM MASSIVE WINDSHEAR REPORTED ON FINAL.,,1800
VNY UUA /OV VNY/TM 1945/FL018/TP CL35/RM MASSIVE WINDSHEAR REPORTED ON FINAL,,1800
VNY UUA /OV VNY/TM 1947/FL015/TP P28A/RM LLWS +-20 KTS,,1500
TOA UA /OV TOA/TM 1948/FL011/TP BE76/SK BKN/RM BASES 011 TOPS 018 1 E OF TOA,,1100
VNY UA /OV VNY/TM 1952/FL001/TP CL35/RM WIND SHEAR  30KT TAILWIND TO A 10KT HEADWIND ON SHORT FINAL,,100
VNY UA /OV VNY/TM 2000/FL018/TP C68A/RM WINDS CALMED DOWN ON 2 MILE FINAL,,1800
SMO UA /OV KSMO030005/TM 2004/FL025/TP C172/WX FV05SM/RM DURD 21,,2500
LGB UA /OV LGB/TM 2010/FL015/TP B738/SK BKN010-TOP015,,1500
VNY UA /OV VNY/TM 2012/FL018/TP P28A/TB MOD/RM WEST OF THE AIRPORT,MOD,1800
VNY UA /OV VNY/TM 2018/FL024/TP SR22/TB MOD/RM SANTA SUSANNA PASS,MOD,2400
VNY UUA /OV VNY/TM 2019/FL010/TP F900/RM LLWS +-15 KTS,,1000
VNY UA /OV VNY/TM 2024/FL015/TP C172/RM 600 FEET UPDRAFT REPORTED ON FINAL,,1500
VNY UA /OV VNY/TM 2024/FL015/TP C172/RM 600 FEET UPDRAFT REPORTED ON FINAL.,,1500
VNY UUA /OV VNY/TM 2042/FL010/TP LJ45/RM LLWS +/-8 KT AND 100 FT UDFS DURD ON FINAL. COR TIME. ZLA CWSU,,1000
VNY UA /OV VNY/TM 2042/FL010/TP LJ45/RM +-8 KTS AND 100 FOOT UPDRAFT REPORTED ON FINAL,,1000
EMT UA /OV EMT070002/TM 2050/FL014/TP PA46/SK OVC-TOP010/WX FV03SM,,1400
WHP UUA /OV VNY345005/TM 2110/FL025/TP GLEX/SK SKC/WX FV10SM/WV 10009KT/RM LLWS +/-15 KT DURD VNY 16R ILS Z. COR SA-ID AND MSG TYPE AND LOCTN AND WX AND WIND AND RMK. ZLA CWSU,,2500
VNY UA /OV VNY/TM 2110/FL025/TP GLEX/SK SKC/WX 10/WV 100 09/RM PLUS OR MINUS 15 KNOTS ON 5 MILE FINAL COMING THROUGH NEWHALL PASS ON ILS Z TO 16R,,2500
SMO UA /OV SMO/TM 2115/FL035/TP SR22/WV 34035KT/RM COR SA-ID AND WIND. ZLA CWSU,,3500
LAX UA /OV SMO/TM 2115/FL035/TP SR22/WV X WND 340 @ 035 KT AT 035,,3500
LGB UA /OV LGB120002/TM 2130/FL008/TP B38M/SK OVC008-TOP013,,800
VNY UUA /OV VNY/TM 2224/FL020/TP GLF5/SK SKC/WX FV10SM/WV 13007KT/RM LLWS +18 KT DURD 028-020 THEN BLO NORMAL CONDS. COR MSG TYPE AND WX AND WIND AND RMK. ZLA CWSU,,2000
VNY UA /OV VNY/TM 2224/FL020/TP GLF5/SK SKC/WX 10/WV 130 07/RM GAIN OF 18 KNOTS AT 028 TO 020 AND THEN BELOW NORMAL CONDITIONS,,2000
VNY UA /OV VNY/TM 2224/FL020/TP GLF5/SK SKC/WX 10/WV 130 07/RM GAIN OF 18 KNOTS AT 028 TO 020 AND THEN BELOW NORMAL CONDITIONS.,,2000
LGB UA /OV LGB/TM 0105/FL016/TP C172/SK BKN-TOP016/RM DURC. COR ALD AND SKY. ZLA CWSU,,1600
SMO UA /OV SMO030002/TM 0110/FL010/TP C172/WX HZ FV01SM,,1000
SMO UA /OV SMO030002/TM 0228/FL005/TP C172/WX FV01SM HZ,,500
LGB UA /OV LGB270003/TM 0305/FL016/TP B763/SK OVC007-TOP012,,1600
SMO UA /OV SMO030003/TM 0306/FL008/TP P28A/SK OVC009-TOP013,,800
LAX UA /OV LAX/TM 0343/FL008/TP B739/SK OVC BASE008/RM DURD RY25L,,800
LAX UA /OV LAX/TM 0508/FL008/TP B738/SK OVC008,,800
LAX UA /OV LAX/TM 0510/FL008/TP A20N/SK OVC008-TOP012,,800
LAX UA /OV RWY24R2NMFINAL/TM 0541/FL007/TP A321/SK BASES 007,,700
LAX UA /OV LAXRWY24R1NMFINAL/TM 0623/FL005/TP B38M/SK OVC005,,500
KLAX UA /OV KLAX071002/TM 1305/FL002/TP B752/SK OVC002/RM DURD RY24R,,200
LGB UA /OV LGB260003/TM 1445/FL016/TP C172/SK OVC003-TOP008,,1600
LGB UA /OV LGB270002/TM 1455/FL008/TP C172/SK OVC-TOP008/RM DURC. COR ALT AND SKY. ZLA CWSU,,800
SMO UA /OV SMO210002/TM 1635/FL005/TP LNC4/SK OVC-TOP004/WX FG/RM FOG BANK DURC. COR SKY AND WX. ZLA CWSU,,500
SMO UA /OV SMO210002/TM 1635/FL005/TP LNC4/SK TOPS004/WX FG BANK/RM DURC,,500
LGB UA /OV LGB/TM 1635/FL005/TP H25B/SK OVC-TOP005/RM DURC. COR ALT AND SKY. ZLA CWSU,,500
SMO UA /OV SMO210001/TM 1748/FL006/TP P46T/WX HZ000-TOP006,,600
LGB UA /OV LGB/TM 1755/FL010/TP C152/SK SCT-TOP010/RM COR SKY. ZLA CWSU,,1000
LGB UA /OV LGB/TM 1755/FL010/TP C152/SK TOPS010,,1000
LGB UA /OV LGB180005 /TM 1812 /FL030 /TP C152 /SK OVC005-TOP010 /RM OVC OVR OCEAN AND ALONG SHORELINE,,3000
VNY UA /OV VNY/TM 1847/FL025/TP GLF6/TB SMOOTH/RM NEWHALL PASS,SMOOTH,2500
WHP UA /OV VNY343006/TM 1847/FL025/TP GLF6/TB NEG/RM SMOOTH OV NEWHALL PASS. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,NEG,2500
SMO UA /OV SMO210002/TM 1850/FL010/TP C172/SK TOPS007/WX FG BNK ALONG SHORE/RM DURC,,1000
SMO UA /OV SMO210002/TM 1850/FL010/TP C172/SK BKN-TOP007/WX UNKN/RM FOG BANK ALONG SHORE DURC. COR SKY AND WX. ZLA CWSU,,1000
VNY UA /OV VNY/TM 2212/FL025/TP GL7T/TB CONST LIGHT CHOP/RM NEWHALL PASS,CONST LIGHT CHOP,2500
LGB UA /OV LGB300002/TM 1503/FL010/TP B38M/SK OVC002-TOP007,,1000
VNY UA /OV VNY/TM 1730/FL020/TP C172/WV -10KNTS ON FINAL TO RWY 16R,,2000
TOA UA /OV 1/2 M FINAL/TM 1758/FL008/TP SLG8/WX 6,,800
LAX UA /OV LAX/TM 1938/FL010/TP A321/SK CLR/TB SM/RM SMALL LAYER AT 1000',SM,1000
LAX UA /OV LAX/TM 1938/FL010/TP A321/SK CLR/TB SM/RM SMALL LAYER AT 1000,SM,1000
LAX UA /OV LAX/TM 1938/FL010/TP A321/SK FEW010/ SKC/TB NEG/RM SMALL LAYER AT 1000 FT. COR SKY AND TURB. ZLA CWSU,NEG,1000
LGB UA /OV LGB /TM 0034 /FL001 /TP PA44 /SK SKC /WX HZ,,100
LGB UA /OV LGB /TM 0048 /FL001 /TP C152 /RM NEG HZ,,100
SMO UA /OV SMO210001/TM 0142/FL004/TP SR22/SK OVC-TOP004/RM DURC,,400
LAX UA /OV LAX/TM 0230/FL003/TP A320/SK BKN003,,300
SMO UA /OV SMO060003/TM 1515/FL020/TP B06/SK OVCUNK-TOP002,,2000
SMO UA /OV SMO/TM 1523/FL008/TP LNP4/SK VV001-TOP005/RM DURC RWY21 KSMO,,800
KLAX UA /OV LAX/TM 1554/FL001/TP B737/SK OVC001/RM TOPS006,,100
SMO UA /OV SMO210001/TM 1730/FL015/TP E55P/SK OVCUNK-TOP010/RM DURC RWY21 KSMO,,1500
LAX UA /OV SMO/TM 1730/FL010/TP SR22/SK TOP 010,,1000
SMO UA /OV SMO030002/TM 1810/FL007/TP E55P/SK BKN009-TOP011/RM DURD RWY21 KSMO,,700
LGB UA /OV KLGB200003/TM 1819/FL010/TP DA62/SK OVC002/RM TOP010,,1000
LGB UA /OV KLGB/TM 1831/FL000/TP CL30/SK OVC002/RM BASES003,,0
SMO UA /OV SMO210002/TM 1831/FL020/TP P46T/SK OVCUNK-TOP005/RM MARINE LAYER BEGINS AT SHORELINE EXTENDS S-W,,2000
SMO UA /OV SMO030003/TM 1841/FL012/TP DA40/RM KSMO AIRPORT IN SIGHT 3 MILE FINAL RWY21,,1200
SMO UA /OV SMO210002/TM 1843/FL011/TP C185/SK OVCUNK-TOP006/RM MARINE CLOUD LAYER BEGINS AT SHORELINE AND EXTENDS OVER THE OCEAN FROM S-W,,1100
SMO UA /OV SMO260002/TM 1916/FL015/TP P28A/WX FV03SM HZ,,1500
LGB UA /OV KLGB120005/TM 1958/FL017/TP B38M/SK SCT007/RM TOP013,,1700
SMO UA /OV SMO210001/TM 2001/FL013/TP C172/WX HZ/RM HZ TOPS013,,1300
SMO UA /OV SMO010004/TM 2004/FL020/TP P28A/WX FV06SM HZ,,2000
SMO UA /OV SMO210002/TM 2005/FL013/TP C172/SK FEW-TOP013/WX FV03SM HZ,,1300
LAX UA /OV LAX/TM 2030/FL007/TP B737/SK OVC007-TOP017,,700
SMO UA /OV SMO210002/TM 2128/FL010/TP SR22/SK BKN010/RM DURC. COR LOCTN AND ALT. ZLA CWSU,,1000
WHP UA /OV WHP /TM 2224 /FL010 /TP C172 /SK SKC,,1000
LGB UA /OV LGB /TM 2325 /FL001 /TP C172 /WX FV02SM HZ,,100
VNY UA /OV VNY/TM 2330/FL010/TP FA50/RM LLWS REPORTED ON FINAL.,,1000
VNY UA /OV VNY/TM 2330/FL010/TP FA50/RM LLWS REPORTED ON FINAL,,1000
LGB UA /OV LGB120005/TM 0115/FL020/TP B737/WX 5SM HZ/RM PILOT REPORT AIRPORT INSIGHT AT FINAL APPROACH FIX,,2000
SLI UA /OV LGB120005/TM 0115/FL020/TP B737/WX FV05SM HZ/RM AIRPORT IN SIGHT AT FINAL APPROACH FIX. COR SA-ID AND WX. ZLA CWSU,,2000
LAX UA /OV LAX/TM 0330/FL010/TP B738/SK OVC010-TOP014,,1000
LAX UA /OV LAX/TM 0419/FL012/TP E75L/SK BKN012,,1200
KLAX UA /OV LAX070005/TM 0555/FL013/TP E75L/SK OVC013-TOPS021,,1300
LAX UA /OV LAX180025/TM 1628/FL065/TP B737/TB MOD BLO 065/RM DURC LAX SOUTHBOUND,MOD BLO 065,6500
EMT UA /OV KEMT010001/TM 1710/FL025/TP RV5/WX HZ/RM CLEAR ABV 025,,2500
BUR UA /OV FIM120010/TM 1717/FL070/TP B737/TB MOD BLO 070,MOD BLO 070,7000
BUR UA /OV BUR090015/TM 1728/FL040/TP E75L/TB LGT-MOD CHOP/RM SIMI VALLEY PRACTICE AREA,LGT-MOD CHOP,4000
BUR UA /OV BUR240015/TM 1730/FL030/TP B737/TB CONS MOD 030-090/RM CONTINUOUS MOD TURB DURING CLIMBING ON LADYJ AND OROSZ SIDS,CONS MOD 030-090,3000
SMO UA /OV SMO360006/TM 1747/FL022/TP P28A/WX FV05SM,,2200
SMO UA /OV SMO270003/TM 1823/FL031/TP SR20/WX FV05SM,,3100
EMT UA /OV KEMT190001/TM 1905/FL013/TP R22/WX FV03SM,,1300
EMT UA /OV KEMT090001/TM 1933/FL013/TP DA40/WX FV02SM/RM FV TO NW 3-4SM AND FV TO E 2SM,,1300
SMO UA /OV SMO250003/TM 0000/FL020/TP C172/TB LGT CHOP,LGT CHOP,2000
BUR UA /OV BUR/TM 0325/FL028/TP B737/RM 20 KT CROSSWIND AT 2 000 FEET AGL RWY 8 ARRIVAL BUR,,2800
WHP UUA /OV KWHP/TM 2206/FL012/TP C172/RM LLWS +/- 10KTS SHORT FINAL KWHP,,1200
"VNY UA /OV VNY29004/TM 2311/FL025/TP SR22/TB MOD/RM ""VERY BUMPY",MOD,2500
"VNY UA /OV VNY29004/TM 2311/FL025/TP SR22/TB MOD/RM ""VERY BUMPY""",MOD,2500
VNY UA /OV VNY23007/TM 2344/FL039/TP C25B/TB LIGHT,LIGHT,3900
